pmid,pmcid_count
40402494,1
40406079,1
40406152,1
40406410,1
40413965,1
40435106,1
40439116,1
40442611,1
40443568,1
40455735,1
40461104,1
40463549,1
40491188,1
40491879,1
40498869,1
40502617,1
40504508,1
40512511,1
40519632,1
40524720,1
40537088,1
40540313,1
40548290,1
40548404,1
40569592,1
40569596,1
40569933,1
40577006,1
40589911,1
40590271,1
40604652,1
40604906,1
40606797,1
40611139,1
40612555,1
40613015,1
40622248,1
40626143,1
